id;categoria_id;nome;slug;descricao;sku;preco;preco_promocional;peso;altura;largura;comprimento;ativo;created_at;updated_at
1;7;Notebook Ultra 14 i5 8GB;notebook-ultra-14-i5-8gb-1;Notebook Ultra 14 i5 8GB - produto original, garantia de 12 meses do fabricante.;SKU-1001;6493.62;;1.132;45;14;11;1;2025-01-10 21:29:50;2025-10-06 03:14:47
2;7;Notebook Pro 15 i7 16GB;notebook-pro-15-i7-16gb-2;Notebook Pro 15 i7 16GB - produto original, garantia de 12 meses do fabricante.;SKU-1002;4364.18;;5.562;36;71;31;1;2024-06-10 23:26:20;2025-07-05 20:16:32
3;7;Notebook Slim 13 Ryzen 5;notebook-slim-13-ryzen-5-3;Notebook Slim 13 Ryzen 5 - produto original, garantia de 12 meses do fabricante.;SKU-1003;4904.09;;9.816;48;19;47;1;2024-07-14 20:56:22;2025-06-16 23:33:20
4;7;Notebook Gamer 15 RTX;notebook-gamer-15-rtx-4;Notebook Gamer 15 RTX - produto original, garantia de 12 meses do fabricante.;SKU-1004;1205.06;;8.530;46;64;59;1;2025-05-15 03:08:54;2025-07-10 15:03:04
5;7;Notebook Book Air 14;notebook-book-air-14-5;Notebook Book Air 14 - produto original, garantia de 12 meses do fabricante.;SKU-1005;7882.78;;2.414;65;41;43;1;2024-05-02 01:37:40;2025-11-14 22:00:39
6;7;Notebook Essential 15 Celeron;notebook-essential-15-celeron-6;Notebook Essential 15 Celeron - produto original, garantia de 12 meses do fabricante.;SKU-1006;3141.54;2670.31;1.902;46;29;55;1;2024-05-23 04:05:09;2024-06-17 12:00:52
7;7;Notebook Studio 16 i9;notebook-studio-16-i9-7;Notebook Studio 16 i9 - produto original, garantia de 12 meses do fabricante.;SKU-1007;2700.86;;4.667;53;40;34;1;2024-08-22 22:33:57;2025-05-26 09:39:01
8;7;Notebook Business 14 i7;notebook-business-14-i7-8;Notebook Business 14 i7 - produto original, garantia de 12 meses do fabricante.;SKU-1008;8991.07;;6.203;47;74;41;1;2024-08-26 07:49:14;2025-05-14 21:46:36
9;8;Mouse sem Fio 1600DPI;mouse-sem-fio-1600dpi-9;Mouse sem Fio 1600DPI - produto original, garantia de 12 meses do fabricante.;SKU-1009;5189.02;;9.845;53;15;58;1;2025-03-09 19:33:45;2025-10-24 10:05:45
10;8;Teclado Mecânico RGB;teclado-mecanico-rgb-10;Teclado Mecânico RGB - produto original, garantia de 12 meses do fabricante.;SKU-1010;3839.85;;0.321;18;25;64;1;2024-11-12 11:33:45;2025-01-29 21:20:09
11;8;Mousepad Grande XL;mousepad-grande-xl-11;Mousepad Grande XL - produto original, garantia de 12 meses do fabricante.;SKU-1011;6125.23;;3.796;53;16;20;1;2024-03-27 18:22:43;2024-07-25 02:14:37
12;8;Hub USB-C 7 Portas;hub-usb-c-7-portas-12;Hub USB-C 7 Portas - produto original, garantia de 12 meses do fabricante.;SKU-1012;8235.96;7000.57;11.478;64;19;34;1;2024-05-27 02:26:28;2025-04-14 19:26:53
13;8;Webcam Full HD 1080p;webcam-full-hd-1080p-13;Webcam Full HD 1080p - produto original, garantia de 12 meses do fabricante.;SKU-1013;638.61;;5.534;39;75;21;1;2024-03-08 20:16:27;2025-06-15 13:00:01
14;8;Headset Gamer 7.1;headset-gamer-7-1-14;Headset Gamer 7.1 - produto original, garantia de 12 meses do fabricante.;SKU-1014;58.25;;8.898;67;38;64;1;2025-04-19 17:15:20;2025-10-27 22:34:31
15;8;Suporte para Notebook;suporte-para-notebook-15;Suporte para Notebook - produto original, garantia de 12 meses do fabricante.;SKU-1015;7806.08;;6.496;44;65;66;1;2025-04-13 05:36:05;2025-10-06 01:21:02
16;8;Cabo HDMI 2m;cabo-hdmi-2m-16;Cabo HDMI 2m - produto original, garantia de 12 meses do fabricante.;SKU-1016;7968.82;;4.340;15;25;69;1;2025-02-02 21:25:52;2025-07-16 20:39:18
17;8;Teclado sem Fio Slim;teclado-sem-fio-slim-17;Teclado sem Fio Slim - produto original, garantia de 12 meses do fabricante.;SKU-1017;1252.06;0.00;3.772;8;83;16;1;2025-04-07 17:02:03;2025-07-31 21:06:21
18;9;Smartphone Max 128GB;smartphone-max-128gb-18;Smartphone Max 128GB - produto original, garantia de 12 meses do fabricante.;SKU-1018;7458.98;6340.13;8.640;29;5;36;1;2025-02-17 16:54:09;2025-09-23 08:50:15
19;9;Smartphone Lite 64GB;smartphone-lite-64gb-19;Smartphone Lite 64GB - produto original, garantia de 12 meses do fabricante.;SKU-1019;7014.44;;1.184;51;17;26;1;2024-10-25 15:22:48;2025-03-11 08:45:16
20;9;Smartphone Pro 256GB;smartphone-pro-256gb-20;Smartphone Pro 256GB - produto original, garantia de 12 meses do fabricante.;SKU-1020;2223.34;;7.093;9;7;56;1;2025-05-12 04:57:24;2025-05-20 20:32:38
21;9;Smartphone Neo 5G 128GB;smartphone-neo-5g-128gb-21;Smartphone Neo 5G 128GB - produto original, garantia de 12 meses do fabricante.;SKU-1021;3834.62;;11.244;10;31;13;1;2024-09-16 13:12:09;2025-09-15 02:14:09
22;9;Smartphone Basic 32GB;smartphone-basic-32gb-22;Smartphone Basic 32GB - produto original, garantia de 12 meses do fabricante.;SKU-1022;3003.38;;1.546;8;24;28;0;2024-04-11 14:44:05;2024-10-08 21:24:24
23;9;Smartphone Ultra 512GB;smartphone-ultra-512gb-23;Smartphone Ultra 512GB - produto original, garantia de 12 meses do fabricante.;SKU-1023;2676,95;;7.443;53;77;62;1;2024-05-03 14:38:13;2025-04-21 23:16:25
24;9;Smartphone Note 256GB;smartphone-note-256gb-24;Smartphone Note 256GB - produto original, garantia de 12 meses do fabricante.;SKU-1024;7062.69;6003.29;1.238;41;9;64;1;2024-01-05 22:41:40;2024-05-25 04:28:03
25;10;Capa Protetora Silicone;capa-protetora-silicone-25;Capa Protetora Silicone - produto original, garantia de 12 meses do fabricante.;SKU-1025;2733.15;;8.953;58;69;45;1;2025-03-30 23:27:29;2025-03-31 10:28:59
26;10;Película de Vidro 3D;pelicula-de-vidro-3d-26;Película de Vidro 3D - produto original, garantia de 12 meses do fabricante.;SKU-1026;2662.98;;11.078;59;36;66;1;2024-01-22 02:34:43;2024-09-23 04:45:44
27;10;Carregador Turbo 30W;carregador-turbo-30w-27;Carregador Turbo 30W - produto original, garantia de 12 meses do fabricante.;SKU-1027;3593.54;;1.206;11;28;65;1;2024-06-04 22:04:21;2024-07-19 03:04:26
